data,hora,taxa
2025/01/04,18:14:22,11.841697695953936
2025/01/04,18:14:23,11.713148162189102
2025/01/04,18:14:24,11.786827716624016
2025/01/04,18:14:25,12.296121354268852
2025/01/04,18:14:26,12.211752522466263
2025/01/04,18:14:27,12.349375294498502
2025/01/04,18:14:28,12.554735057428573
2025/01/04,18:14:29,11.822002895439113
2025/01/04,18:14:30,12.615358818959274
2025/01/04,18:14:31,12.32150586346682
2025/01/04,18:15:42,11.756581395633122
2025/01/04,18:15:43,11.814740098707158
2025/01/04,18:15:44,12.252654495014566
2025/01/04,18:15:45,12.417397471779278
2025/01/04,18:15:46,11.939084804006502
2025/01/04,18:15:47,12.575052928799531
2025/01/04,18:15:48,12.54728909006025
2025/01/04,18:15:49,11.705286141608985
2025/01/04,18:15:50,12.016175175414684
2025/01/04,18:15:51,11.90621731588706
2025/01/05,17:28:16,12.474746076137137
2025/01/05,17:28:17,12.283906065965372
2025/01/05,17:28:18,12.057804708467952
2025/01/05,17:28:19,12.63848719810363
2025/01/05,17:28:20,11.662786617525818
2025/01/05,17:28:21,11.92271531850239
2025/01/05,17:28:22,12.294141683136242
2025/01/05,17:28:23,12.511040444008328
2025/01/05,17:28:24,12.25954972729478
2025/01/05,17:28:25,12.13104629254657
2025/01/05,17:29:21,12.120877387838362
2025/01/05,17:29:22,12.466734421491122
2025/01/05,17:29:23,12.36794644346637
2025/01/05,17:29:24,12.53188858744835
2025/01/05,17:29:25,12.108829943723732
2025/01/05,17:29:26,12.517479743736843
2025/01/05,17:29:27,12.417041951980814
2025/01/05,17:29:28,12.182277469031819
2025/01/05,17:29:29,12.426654858024044
2025/01/05,17:29:30,11.781020702638278
2025/01/05,17:30:25,12.098772004468593
2025/01/05,17:30:26,12.074741772660385
2025/01/05,17:30:27,11.717742024565705
2025/01/05,17:30:28,11.732978544955445
2025/01/05,17:30:29,12.513590188647818
2025/01/05,17:30:30,12.127225495395697
2025/01/05,17:30:31,12.221217877310334
2025/01/05,17:30:32,12.519687187931721
2025/01/05,17:30:33,11.879217880028646
2025/01/05,17:30:34,12.357075717586719
